Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
Pz,304.3357072996221,127.10135262371234,635.5831408816086,310.41932588243725,194.64216258677797,
T8,850.0903669032733,541.2282233607732,638.0510244129232,566.405947834612,425.01947639261766,
AF4,315.79204272962534,635.7138083028127,244.24029010082347,340.4833932419577,281.92975440971725,
AF3,430.4141774372738,988.7208808678663,437.6735862589499,385.47007930358717,568.0418745489293,
T7,464.659102910922,752.9110959341581,769.920473684186,725.1575923868709,476.9609455004853,
